id	document
12402662	영화보고 암세포가 암이걸려 없어졌습니다.이대호, 김태균이 짜장면 비벼먹듯 wbc를 비벼먹네요
12399499	장감독은 이걸 무슨 생각으로 만들었냐? 정두홍에 강타에 스타만 내세운다고 영화가 뜰 것이라 생각했냐? 진짜 영화 만들지 마라
12396478	시간의 소중함을 다시한번 깨우쳤다 인생작 닥 십점
12366280	의리가 있는 사람이라면 3대 영화는 꼭 봐야 합니다.영웅, 클레맨타인,성냥팔이 소녀의 재림!의리가 없는 사람은 볼자격 없음
12351954	월드컵이 키워놓은 애국심을 한방에 없앴다.
12347656	클레멘타인은 역설적으로 별 많이 주기 했다지만 이건 그런 장난조차 싫다
12340434	성냥팔이 소녀의 재림 너무너무 재미있다. ^^
12303398	꼭봐야할 영화 4선 1.클레멘타인 2.성냥팔이 소녀의 재림 3. 응급처치 19호 4. 샐러맨더의 비밀
12302455	이 씨X년 말하는 싸가지봐 이거짜장면 안 먹어봤어?너 짜장면으러 맞아볼래? 드르르르르륵!!!
12203681	대가리 비우고 봐야지만 볼 수 있는 영화
12183243	와 진짜 보고나서 토할거 같은 영화는 처음이다. 하도 재미가 없다길래 궁금해서 봤는데 정말 후회된다. 진짜 적당히 재미없어야지 보다가 구토나올뻔했네 농담아니라
12133678	벗어날수 없는 참옥함 현실속에서 날구원해준 국내 희대의 수작정말 그때에 감동을 잊을수 없다 ..정말 제작비가 아깝지 않은 걸작
12133268	2017년이 되어도 변하지 않을 명작... 죽기 전에 보고 갑시다
11984045	의리가 있는 사람이라면 3대 영화는 꼭 봐야 합니다.영웅, 클레맨타인,성냥팔이 소녀의 재림!의리가 없는 사람은 볼자격 없음
11936361	챗바퀴처럼 하루하루 머무르는 삶에 지쳐있던 내게 세상에 대한 인식을 바꿔준 영화. 다 보고 나서 챗바퀴같은 삶이란 게 정말 재미있는 것이었구나라는 것을 느끼게 해준 삶의 쉼터이자 오아시스 같았던 영화.
11903507	ㄹㅇㄲㅈ 10자자자ㅇㄹㅇㅇ
11887099	그래도 이건 돈이라도 많이 들였다.. 맨데이트하고 다세포소녀를 따라오지는 못하네...
11872073	대한민국 최고의 영화 아닐까 싶다. 이거 보고 나서 짱깨 한 그릇 안 때리면 의리가 없는 인간이다.
11844787	짜장팔이 소년의 재림..
11831202	성소재림을 보고 암이 나았습니다! 참으로 멋지고 심오한 세계관, 스토리, 연출... 이것이 2002년도 작이라는게 놀라울 따름인데요! 2060년에나 나올 법한 영화였습니다 감독님 만수무강하세요
11797968	이것은 1점이 아니다 11점을 주고싶은 내 마음이다.
11784942	방금 봤다 띵작. 마지막에 팡팡 울었다.
11780909	인생영화....!!?!
11708647	이 영화를 욕하는 사람은 영화의 본질을 이해하지 못한 사람들이다. 속는 셈치더라도 꼭 한번 봐라. 수준 높은 사람이라면 이 영화의 참된 가치를 깨달을 것이다.
11681796	이영화를 보고나면 세상에 재미없을게 없고 개연성없는게 없고 시간이 중함을 깨닫게 한다 깨달음의 영화
11680316	우리나라 영화계의 양대산맥 성냥팔이와 클레멘타인..
11679479	성냥팔이 소녀의 재림은 어차피 클레멘타인이나 영웅:샐리맨더의 비밀처럼 만들긴 힘듬. 이미 너무 유명해서....망한것들중엔 제일 유명한듯. 개인적으론 특히 클레멘타인 네이버 페이지는 네티즌의 걸작이라고 생각.
11675417	꼭 초딩들에게 알려주고 싶은 영화이다. 어쩌면 그들은 좋아 할지도 모른다.
11674610	성냥팔이의 애달픔이 느껴지는 세기의 역작
11442477	이건 너무 심하네...
11417367	더 두려운건 장선우 감독은 아직 400억이 더 있으시다.
11403725	씹다버린 개껌에다가 똥을 싸놨어
11379180	어릴때 엄마따라서 극장 직관했는데 옆에남자가 보면서 욕한기억난다..
11372090	이 영화 처음부터 끝까지 집중하고 보실수 있다면, 수능 한번더 보시면 돼요~ 서울대가 아니라 서울대 할아버지도 가실수 있을겁니다
11311142	여기서 만큼은 좀 냉정해지고 솔직해지자 얘들아 ..;
11167544	난 나름 재밌게 봤는데??나름 집중안돼는 장면도 있지만영화를 이해하면서 보면 나름 볼만하다액션도 선방쳤고문제는 영화가 시대를 앞서나온것도 있고시나리오 자체가 게임을 안하는 사람들에겐어필이 이루어 지지않았다는것뿐
11163196	클레맨타인과 함께 내생의 최고의 영화
11134267	시대를 너무 앞서간 영화. 한 5천년 정도
11085344	먼 훗날 마약이 지구에서 사라졌을때 비로소 빛을 발하는 신 마약류다.
11056399	차라리 제작비 110억을 어려운 사람 11명한테 나누어줬으면 지금까지도 감사하게 생각하며 존경받았을텐데 똥 닦는곳에 쓰는바람에 지금까지도 욕만 먹네 예나 지금이나 20분 이상은 못 보겠다
11036344	중학생이 수행평가로 만든수준
11013664	라라 나오는 장면만 재미 있었음.. 라라 덕분에 2점..
11013361	항상 비교 영화 댓글 1순위 그영화인가....
11002372	감독아 짜장면으로 쳐맞을래 진짜?
10983389	장선웈 이 영화 한편으로 감독 인생도 끝났지 ㅋ
10963605	데뷔와 동시에 신드롬을 일으켰던 ‘임은경’과 청룡영화상 감독상, 대종상 영화제 감독상, 베를린 국제영화제 알프레드바우어상 및 해외에서도 주목하는 ‘장선우’ 감독을 한방에 몰락 시켜 버린 전설의 영화.
10959491	너무 과대평가된 대표적 감독. 경마장에서~ 거짓말까진 봐줄만 했다. 거기까지가 한계였음.
10949653	bb 최고입니다!!!
10926107	최고의 망작...ㅎ 오마이갓
10838882	정말 지금봐도 시대를 잘못태어난 영화라는말이어울리는 영화입니다.
10815934	이 영화은 죽기전에 절대 봐서는 안돼는 영화이다!!
10791166	.... 야부키
10790645	야....이게무슨 재앙인가
10771015	영화 내부자들 따위와는 비교도 안되는 고전 명작!!! 안보고 죽으면 저승가서도 후회할 영화~~~!!!!
10688420	한창 뜨던 임은경 한 방에 훅 보낸 영화?
10578285	와 정말 재미있네요 하하하하!!
10523022	이거보고 짜장면 한그릇시켜먹음
10503325	무서운 집에 비하면 이 영화는 역작이다
10452648	이야기에 개연성이 부족하다. 왜 그런식으로 흘러가는지 알수가없다
10409880	이건 장선우가 머리를 비우고 마음도 비우고 그 빈 공간을 돈으로 채워 만든 영화야...
10345699	정말재미잇는영화 꼭봐요 ㅎ호ㅗ
10342760	ㅡㅡㅠㅠ울부짖었따.
10302773	여기서는 솔직해지자 얘들아
10287016	여기서 짜장면이 제일 인상깊었습니다.
10275940	이런 명작을 나만 볼 수는 없잖아요? 많은 사람이 볼 수 있도록 별점좀 줍시다.. 영웅: 샐러멘더의 비밀, 클레멘타인과 더불어 3대 명작인데... 이 영화만 너무 평점이 낮아서 안타깝네요..
10271105	왜 평점 주는곳에는 0은 없지?....
10235969	이거 보니깐 다세포 소녀가 재밌어지는 진귀한 영화 ㅅㅂ
10234946	한국 3대 망작 중 하나입니다. 다세포소녀, 긴급조치 19호, 그리고 성냥팔이소녀의 재림.
10220433	그렇습니다. 암세포가 암이 걸려서 암이 낫게 된다는 바로 그 영화 맞습니다.
10211966	최고의 망작~ 당시100억 지금으로는 200억넘는제작비 수많은 투자자들을 피눈물나게 했던~ 영화는 감독의 예술이라 했던가 예술영화 즉 컬트무비를 대중영화로 내놓았으니 장선우 감독은 변명의 여지가 없다 대중영화로 봤을땐 내가본 최악의 영화~
10192150	이영화를 보고 암이나았습니다
10118647	비디오로 빌려봤는데 진짜 비디오값이 그렇게 아까운 건 처음이었음
10107327	재평가가 절실한 아쉬운 영화.... 나는 오히려 클레멘타인보다 감동적으로 봤는데 사람들의 눈이 너무 넢아짐. 솔직히 으리가 있다면 별점 10개 주시길
10099261	암을 치료하고 싶습니까?
10074817	이 영화때문에 취업했다. 취업면접 때 이 영화를 극장에서 보았다는 말을 했다. 면접관들이 믿지를 않고 날 정신병자 취급하더라.간직했던 표를 보여주었다. 나의 안목에 경외심을 표하며 그들은 초봉 2억3천에 나를 데려갔다
10042984	밀레니엄을 맞이한 한국영화의 포문을 연 110억 블록버스터.영화의 진수를 느끼려면 현재 임은경이 뭐하나 검색해보면됨
9987682	이게 그 클레멘타인, 영웅:샐러멘더의 비밀과 함께 한국 영화 3대명작중 하나인 그 영화 맞나요?
9986834	비디오 테이프로 빌려보던게 생각나네 개후회 재미없음
9975996	장선우 감독의. 강제은퇴작... 그많은 제작비를 어디다 쓰셨는지...
9941748	그래도 ... 김치워리어보단 낫잖아?..
9930604	이거 평점 9점대로 알고 있었는데 언제 이렇게 폭락했지? 한국영화 최고의 명작입니다. 해리포터나 어벤저스 재미있게 보셨다면 꼭 보세요 ^^
9924515	서엉냥 사아세에요..
9876720	영화 관련 서적에서 빠지지 않고 등장하니 다른 의미에서 한국 영화사에 한 획을 그은 작품이긴 하네 ㅋㅋㅋ
9876441	이 영화를 보고 취직했습니다.
9845446	그리고 한국영화계는 멸망했다
9841297	클레멘타인은 10점 러쉬하면서 왜 동급인 이작품하고 다세포소녀는 별점테러하냐 ㅉㅉ 명작라이벌이라고 견제하네 클레멘타인 빠돌이들...
9802364	이게 뭔가요... 당췌 난 뭘 본거지?
9800096	소재는 참신했는데 내용은 그저 그렇다가 결말에 뚝?
9797747	2000년대 초반으로 박제된 이 영화에서 우리는 그저 풍속학적인 가치나 찾아야 하는가? 아니다, 이런 끔찍한 재앙 속에서도 예술가의 자의식은 꿈틀거린다. 하지만 서투르고 게으른 태도와 접근방법은 모든 가능성을 똥통으로 몰아넣고 말았구나.
9791902	나름 재밌는데 뜬금 없는 장면이 너무 많이 나온다 그 것만 손 보면 대작인데 장비도 존나 신형 혹은 고가형에다가 총기가 무슨 미군도 저리가라 수준 (M4, MP5N 등등 근데 다 풀옵)이고 효과도 화려한데 액션이 좀 이상하기도 하지만 재밌다.
9771487	여교수의은밀한매력 , 다세포소녀 , 성냥팔이소녀의 재림 , 7광구 ... 성지순례 왔습니다~
9769479	짜장면을 모르면 이영화 보지마라
9736582	내가 당시 VOD 공짜로 봐서 다행이지 돈내고 봤음 엄청 욕했을거다 정말 이게 왜 쓰레기영환지
9731428	철학이고 자시고 그 많은 돈을 이따위로 영화만들었다는거 자체가 이해가 안간다. 자칭 예술가들은 걍 예술이나 계속해라.
9724888	너 짜장면으로 맞아봤어?
9721624	꼭 봐라 평점이 왜 3점대인지 이해불가
9717697	이영화를보고 모두 눈물을 흘렸을겁니다...여러분 이런건 나눕시다
9713081	어떤 천재도, 괴짜도, 이영화가 말하는 메시지가 무엇인지 가늠조차 못한다. 다른 관점에서 이 영화는 한국영화사에 큰 획을 그었다고본다. 망작이란 이런것이란.. 전무후무한 망작의 교과서 같은 영화,
9711802	감독님이 로또맞아서 걍 신기술 다 조합해서 만든영화
9711670	성냥사세요~ 성냥사세요~ 그리고 성냥팔이 소녀의 재림 보세요 ^^ 라고 꼬마애가 웃으며 접근하면 그 아이한테 클레멘타인 DVD를 선물 하고픈, 그런 영화네요. 재미는 긴급조치19호에 못미치고 완성도는 OOO 살래를 뛰어넘는 그런 명작!!
9709701	이걸 영화라고 만드냐?
9694026	무뇌충들이 평점을 망쳐놨어요.
9692924	아직 이 영화를 보지 못했는가? 그렇다면 당신은 아직 인생을 산다고 말할 수 없다.
9690044	솔직히 초딩때 극장에서 예고편 봤을때 당시 광고로 유명했던 신비소녀 임은경이란 캐릭터랑 잘 맞는거 같아서 보고 싶었었다. 하지만 지금, 그 선택이 올바른 선택이었다는것을 깨닫게 되었다.
9664886	돈으로맞아볼래???
9664743	감히 내가 이 영화를 평가를 할수 있을지 모르겠다.
9624258	환상의 똥꼬쇼,뭔가 보여드리겠습니다!
9608207	수준떨어질까봐 도저히 끝까진 못보겠드라
9603349	해외에서도 관심을 받으며 천재,예술영화계의 떠오르는 혜성,앞으로 한국영화를 이끌어갈 3대 감독소리를 듣던 감독이 자만을 하게 되면 얼마나 끔찍한 결과가 나오게되는지 보여준 영화.천재소리를 듣던 이 영화 이전의 그를 생각해보면 참 안타깝기 그지 없다.
9594397	지금 현대의 픽박받고 갈굼당하며, 제일 최하층에사는사람들에게 바치는 영화가 아닌가싶다. 그리고, 왜 이런 평점이 주어졌는지 모르겠지만, 재평가가 필요한 영화가아닌가 생각된다. 삶에 지쳐서 쓰러질것같은사람, 속세에찌들어 살아갈 희망이없는사람에게 추천한다
9575870	얼마나 재미없으면 어쨋든 한국 걸작이라하여 평점을 좀 올릴게여
9567685	생각보다 평점이 높네요
9565494	영화를 본 후 암이 나았습니다.
9559514	논점 없이 화법만 있다.
9530234	한국영화 역사상 가장 과소평과된 영화
9524622	영화 정말 재밌게 잘 봤습니다. 리뷰들을 보니 디오게네스를 비웃던 그리스시민들이 떠오르네요. 똥인지 황금인지 구분하지 못하는 어리석은자들이 가득한 안타까운 세상이네요. 백년뒤의 관객들을 위해 모쪼록 힘찬 기개로 다시한번 작품활동 하시길 기원합니다.
9500228	0r개 없나요.. ㅋㅋㅋㅋ
9488949	영화를 좋아한다면 꼭 봐야하는 작품. 그 수 많은 자본으로 영화가 이렇게 엉망이 될 수도 있구나 라고 알려주는 예시가 되는 훌륭한 영화.
9487356	하...이러지말자 진짜
9459929	대체 100억으로 짜장면을 몇그릇을 처먹어야. 이런 영화가 만들어지는거야ㅋㅋㅋ
9452728	쵝오!! 나만 죽을순 없다.
9442948	중국집 배달부들의 고난을 담은 예술이네요 10점드립니다
9441721	최고다 평가한다는 것 자체가 모욕인 영화
9421371	시간의 소중함을 알게 되었습니다. 그깟 돈 100억의 덧없음을 알게 되었습니다. 심형래 감독의 위대함을 알았습니다.
9408283	평점 매길려고 쓰는게 아니고, 베뎃 중에 영웅을 같은 급으로 취급하는데 한국 영화중에 영웅이 있음..? 아니면 이연걸 주연에 그 영화임..? 진짜 개이버 ㅈ중고당들 미친거 아님??
9386533	예고편만 봤는데 암이 낳았습니다.
9309814	메트릭스+천장지구_분노의질주+툼레이더_동방신기+GTA+당신이 가져다 붙이고 싶은 영화,,,110억의 제작비라면...거의 1분당 제작비가 1억...내가 110억 줄께 , 이런 영화 만들 수 있겠는가? 못 만든다.
9307954	이 영화를 보고 암이 나았습니다.
9302697	오, 평점 더 내려보자한번.현재 3.76
9292410	뭔가 불쌍한 영화동정심 때문에 10점
9249759	당시 성장기때 영화 포스터 보고 꼴려서 봤다 없는 돈 탈탈 털어서..보다가 배알 꼴려서 나갔다 나중에 보니 짜장면씬은 정말 역사에 남을 명장면
9241007	그냥 짜장면만 보면 됩니다.
9237349	한국 영화의 발전 가능성을 보여주는 영화
9226247	TTL소녀로 승승장구하던 이분은 이거이후로 모습을 감췄지..아 장선우감독님
9222054	요가학원, 쾌걸조로리의대대대대모험, 클레멘타인이랑 동급영화
9198918	짜장면으로 맞Ang 볼래?
9186422	나 혼자 멘붕할 수는 없어. 다른사람들도 보게 해야해.
9183906	작품성 있는 영화는 10점이다.
9105436	짜장면으로 맞아볼래? 이게뭐꼬 ㅋㅋㅋ
9096210	뭐 이런영화가 다있냐ㅋ
9095248	명량을 보고 돌아왔습니다. 명량을 보고 이 영화가 얼나마 명작이고 소중했는지 깨달았습니다. 정말 감사합니다. 정말 명량 보느리 차라리 매밀 잠들기전에 이 영화를 보겠다
9093121	이걸 보고 나니 이제 세상의 모든 게 재밌게 느껴졌다 심지어는 결혼식에서 하는 주례조차도 너무 재밌더라
9082813	이 시대가 나은 히대으 극작
9080375	솔직히 cg는 현재 cg랑 맞먹는다
9032576	시대를앞서간불운의명작 꼭다시보시길..
9002457	뭐라고? 너 짜장면으로 맞아볼래?
8956596	우리나라 SF의 미래를 짓밟은 영화.
8944370	임은경씨 왜 이런 영화에!
8924575	하....?!하....
8924566	의리의리으으으으리으으의
8922608	이 영화를 11번째 보고 남기는 글.. 기대를 안하고 봤었던 영화였지만 지금까지도 내 삶에 큰 후유증을 주는 영화 만약 이시대사람들 즉 우리가 죽고 후세사람들이 우리와 소통을 원할때 찾을수있는 아니 찾아야하는 영화
8919955	감독님 왜 그러셨어요,.. 감독님 일어나!!!
8919271	모든게 완벽한 영화. 이 영화를 보고난 후 다른 세상을 사는것 같은 착각을 느낄정도로 대단한 몰입감과 치밀한 전개에 감탄할 수 밖에 없는 영화
8906607	클레멘타인때처럼 낚시 한번더하자
8872926	나오는 총들보고 그 밀덕력에 지렸다
8847051	피키캐스트보고 성지순례왔습니다. ㅋ
8841139	0점도 주기에 아까운 영화... 라이터 안 사준다고 대낮에 총이나 쏘고 다니는지 ㅉㅉㅉ
8837751	이딴영화에 110억... 진심으로 저돈 반을 고등학생들한테줘도 이것보단잼날거야 차라리110억 불로태우는게 훨씬잼날듯
8801782	그래도 임은경 리즈 시절 모습이 잘 담긴 영화
8784217	포스터를 보라~ 포스가 느껴지지않는가? 꼭 봐라~두번봐라~
8746263	말이필요없습니다 꼭보세요
8730190	왜 이영화의 평정미 '영웅:샐러맨더의 비밀'이나 '클레멘타인'보다 못하나요.절대 못할 이유가 없습니다. 억울합니다. 이 영화를 본 사람은 모두다 힘을내 못본 사람들에게 평점으로 알려야 합니다.
8726939	아 미치겠다. 이 영화를 정말로 진지하게 재밌다고 느꼈으면 병원가봐야 되냐? 난 정말 괜찮다고 느꼈고 몰입도도 좋은 편이었다고 생각했는데 ㄷㄷ
8716346	사촌형이 첨 영화를 보여주었다 나오면서 미안하다고 사과를 하였다 ...
8714278	안녕하세요 사회복지사입니다^^
8713466	110억 들이고 5억 받은400만 관객 예상했는데 7만 관객이 본그런 영화
8694565	시작하는 순간 반 사망 상태에 돌입했다가. 엔딩크래딧이 오르면 다시 부활한다는 전설의 영화.
8670828	야 이거만든 새끼 나와라
8670104	으리가 있는 사람이라면 다세포소녀, 성냥팔이 소녀의재림, 조선미녀삼총사 총 3편은 꼭 보아야 합니다.. 3대전설.
8664822	나는 영화를 본것인가 아니면 방사능 폐기물 덩어리를 본것인가
8646936	실험정신이 뛰어난 작품..
8624625	이런명작을 절대 절대 절대 나 혼자 볼수없다 !이런 명작을 나혼자 본다는건 너무 억울한 일이다!!! 절대 혼자볼수없다 모두 보시길 바랍니다 우리나라의 최고의 명작!
8617141	짜장면으로맞아볼래? 이장면만큼은 명장면이다 진짜 ㅋㅋ
8612280	흠....이럴수가.
8567504	임은경 /김진표 명당 5점씩 그래서 합이 10점입니다... 10점 줬으니까 님들도 꼭 보삼 안보면 숨 거둘때 억울하니까 제발..보세요
8567438	1점 주신분들 짜장면으로 때리러 간답니다
8540831	러닝타임이 125분이라는게 놀라울따름이다 12.5분만봐도 아깝다 시간이
8540040	어떻게 이 감독이 경마장 가는길, 너에게 나를 보낸다, 꽃잎을 만들었는지 이해가 안간다.
8533210	이건 별 1개주기도 아깝다. 뭔 내용이야 대체...
8532393	어렸을 때 봤었는데 그 때는 재미가 없었음. 최근 다시 봤는데 계속 재미없네.
8513127	얘들아 이건 10점이 아니야 씹점 과 0점을 주고 싶은 내마음이야
8509209	대한민국 그많았던 성냥들이 어디로사라진지모르는가?!우린 아빠일어나를외치고 의리로 보아야한다 보라 두눈똑바로...
8493046	이건 졸작계의 "대부"다. 이것보다 더 못만들어진 영화는 존재 자체가 불가능하다.
8486957	짜장면으로 맞아볼래?
8484704	고등어가 고등어 되는거 보고 뿜었다
8483057	어릴적 일떄 봤던거 같은데 당시엔 제가 어려서 뭔내용인지 모르는줄 알았습니다
8464215	ㅋㅋㅋ왠지 안 봐도 재밌을거같다ㅋ
8442196	이 영화가없었다면 지금의 임은경도없었지.
8439310	성냥팔이소녀의재림, 영웅, 클레멘타인 이렇게 세편 묶어서 트릴로지 내놓으면 난 빌게이츠를 이길수있다~~
8427116	세련되지 못했으나 그렇게 나쁘지 않은 수준의, 그리고 엄청난 분량의 액션씬을 내재한 영화다. 문제는 액션과 액션 시퀀스 사이의 스토리와 연기, 들쭉날쭉한 불균일한 연출이다. 시대를 앞서갔다기보다 감독의 과잉 자아도취가 대작을 말아드신 케이스
8373002	평점올려보자 올려보자
8329668	끼양꼬 삐양꼬 보고있나? ㅋㅋ
8299764	시원하게 말아드셨네 그냥좀 병맛같은 한편의 영화
8270147	시대를 앞서간 영화~~~ㅋㅋㅋ
8215194	2선발 방어율 수준이네... 예전에는 1선발급이었는데... 기억에 남는건 짜장면 뿐...
8104962	감독이 싸이코패스이거나 임은경씨에게 받을 돈이 있었나보군요. 쓰레기다 쓰레기다 말만 들었지 이정도일 줄이야
8102028	단언컨대 가장 완벽한 영화!!
8035106	의도적으로 과장된 동작과 대사,시끌벅적한 색상,트로트부터 베사메무쵸, 아베마리아까지..형식은 키치지만 명백한 3류영화다.‘매트릭스’를 차용했으나 감독의 머리는 정돈되지 않았다. 당시까지 최고였다는 제작비110억원은 4대강처럼 허무하게 날아가 버렸군.
7972172	니가 짬뽕국물 써비스로 달라 그랬지? 두드두두두두두두드~~
7966794	.
7944464	액션은 스케일도 크고 의외로 괜찮다. 하지만 캐릭터엔 도저히 공감할 수 없고, 스토리와 설정은 멘붕을 부른다. 새로운 형식의 영화를 보여주려 하지만, 모든 스타일은 촌스럽고 구닥다리다. 그 결과 영화는 처음부터 끝까지 난장판일 뿐이다.
7931526	점수가 왜이리 높아 ㅋㅋ 이런건 영화도 아냐
7911650	나는어린시절 이걸 돈주고영화관가서봤었지..그날느꼈던 공포가 다시재림하지않길바라며 살고있지
7910408	왜 이제서야 내가 이 대작을 지금 봣는지 후회스럽다. 초반부에 카운터년 총알먹이는 짜릿한 장면이며 후반부에 CG로 화려하게 처리된 배경하며 당시 기술력을 생각하면 감탄을 금치 않을 수가 없다. 110억 이라는 제작비만큼 그 이상의 퀄리티가 돋보인다.
7898167	나이거 보고왔어 물론 의미는 알겠어 근대 재미가 없잖아 110억을 뭣해쓴 영화야 이건 물론 명작이라는건 알겠는데 재미가 없는걸 어째라고
7890607	이런 명작은 이제야 보다니...내 자신이 한심하다..누군가 그랬다 클레멘타인 이전과 이후로 영화가 나뉜다고.허나 나는 성냥팔이 이전가 이후로 영화가 나뉜다고 본다
7873301	유머게시판에서 전설적인 짤을 봤는데..응?! 재밌던데ㅋㅋ
7869966	역겨워서 토쏠리는 영화 우웨에에에에에엑~~~~ 카악 퉤에에엑 퉷퉷!!
7861318	100억원 이상의 제작비라 .................
7846339	너 짜장면 안먹어봤어? 짜장면으로 맞아볼래?
7823896	시대를 앞선 명작 ㅋㅋㅋㅋ
7818114	이영화찍은분 지금인천성냥공장에서 나무쪼개고있답니다 이글내려주세요.
7817878	ㅗ
7809416	한국 영화 사상의 획기적인 시도 매트릭스를 오마쥬 한건 좋았으나 왜 이렇게 영화가 어색한지 잘모르겠다.
