id	document
13388104	가볍게 즐기기에 좋은영화임
13388097	화려한 액션신 정말 재밌었습니다~
13388092	재밌음근데 너무중간에질질끄는게있음
13388085	캡틴아메리카 시빌워때 살짝 실망했었는데 토르는 완전 재밌었어요
13388050	아이들이너무나기대하고기다린영화였는데역쉬기대를져버리지않은영화였어요^^
13388048	가볍게 시간보내기에 좋았어요
13388041	재밋어요 진짜 최고입니다
13388039	역시 흥행은 마블이다 토르굳
13388036	재밌었어요 토르멋집니다
13388035	산만하고 별로 였어요...아쉽네요...기대 많이 했는데...
13388012	니가 망치의 신이냐? ㅋㅋㅋ 핵심을 찌른 오딘~!
13388006	햄식이는 이번에도 재치있으면서도 멋졌고 눈하나 없어진게 좀 걸리네요
13388003	기대한만큼 재밌었어요 추천요
13387972	역시 마블이에용 ㅋㅋㅋ
13387960	나는 이런거 넘 조아....!!!!
13387952	진짜 간만에 재밌게봤어요
13387929	마블에서 버려졌던 망치의 부활
13387898	우리는 기억하고 있다 m16a1이 얼마나 강한지를~~ 아스가르드를 위하여
13387891	오랜만에 재미있는 영화를 본듯요 ㅋㅋ 마블 짱이요
13387889	재밌었고 속편이 있다면 기대됩니다
13387860	진짜 재밌게 잘 봄짱짱 ㅋㅋㅋ
13387837	재미잇엇습니다~~~
13387825	갈수록 흡입력있었어요. 유치한거 좋아해서 더 재미있게 봤네요.
13387801	너무너무재미있습니다!!
13387784	가족들하고 재미있게 봤다. ^^
13387777	속시원합니다~^^최첨단 영상과학 기술 그 자체가 놀랍습니다스트레스 완전 해소!!강추
13387775	재밌다재밌다재밌다재
13387773	화려한 액션 그러나 히어로물이라고 해도 개연성이 약하서 딱 무난히 보기 좋은 정도..
13387763	기대가 너무 컸는지... 실망감이 큽니다.
13387760	토르의 장점을 찾은 동시에 단점도 또 드러난다. 이건 배우나 캐릭터의 문제가 아니라 포지션의 문제다. 신이라는걸 증명해냈지 만 다른 히어로들보다 매력&임팩트가 떨어진다. 가오갤에 빚진듯한 이편 이후 확실한 리부트가 필요할듯. 물론 재미는 보장한다.
13387748	토르의 인생작이다. 진짜 재밌게본 영화
13387735	최고^^ 친구랑봣는데 굿
13387729	한결같은 로키,레드 제플린,케이트 블란쳇 몸매 좋음,토르는 망치의 신이 아니라 원래 천둥의 신,글라디에이터,M16 등장
13387709	부라더보고 토르보니까 진짜 돈 안아까움 토르짱 헐크짱ㅋㅋ
13387693	우리는 그의 존재를 잊어선 안된다.... 맷 데이먼
13387684	네이버페이포인트받아가요^^
13387670	재미있는 부분도 있습니다. 멋진부분도 있구요. 팬분들에게 추천합니다
13387667	스토리는 쫌...ㅋㅋ그래두 스케일이 남달라 너무 잼나게 시간 가는줄 모르고 보았네용~^^*
13387651	전작들과 달리 작품성도 좋아졌고 시종일관 밝은 톤의 분위기로 일관해 재미 위주 볼거리로는 좋음
13387649	다소 코미디성이 강하긴 하지만 역시나 마블이네요
13387643	재밌었어요 근데 예약하면3000원을 더내네요 비쌉니다
13387641	재미나게봤어용 별기대안했는데 웃겨서더좋았음ㅋㅋㅋ
13387624	행님들 꼭 보세요 정말 재밌습니다
13387622	너무재밋어요 여태 마블중에서도 높은순위안에들듯!
13387617	유치하지만 제미졌어요
13387615	마블 영화를 그리 좋아하는편이아니었는데, 진짜 영화 보는 내내 웃느라 시간가는줄도 몰랐던 영화~~~
13387606	신나게볼만해요남자들은 좋아하겠어요
13387596	걍 볼만함... 재미읎다고는 할 수 읎지롱.
13387579	토르 캐간지 역시 재밌어. 2주전에 봤는데 이제 평점 남기네
13387565	재밌어요. 코믹 요소가 처음부터 끝까지 꽉 찬 느낌. 개인적으로는 이때까지 토르 시리즈 처럼, 그리고 라그나로크 원래 이야기 처럼 다크의 정점을 보여주길 기대했던 터라 아쉬움도 남지만 가오갤을 보는 듯 해 재미있었네요. 역시 믿고 보는 마블입니다.
13387551	재미있지만 살짜기 아쉬운점
13387547	명불허전 역시 마블시리즈는 참 재밋어요
13387546	너무ㅎㅎㅎ꿀잼입니다ㅎㅎ
13387522	긴 말 필요없음 진짜 재밌음. 안보신분들은 꼭 보시길~ 후회 없을 겁니다!^^
13387509	보는 내내 즐거웠다~ㅋ
13387499	좋아용 재밌었습니다^^ 추천추천
13387479	It is excited
13387476	상대적으로 노잼이고 약했던 1,2편의 토르만 생각하고 아무생각 없이 봤다가 너무 재밌게 봄. 평점 이런거 한번도 안해봤는데 10점을 안줄수가 없네
13387453	간만에 영화관가서 봤는데 재밌었네요.근데 뮌가 쪼금 아쉬운구성..
13387452	오랜만에 보는 마블시리즈 영화 재미있게 잘봤습니다!
13387451	재미있어요 ㅋㅎ 살짝 지루한감도...
13387435	토르에 관심이 없었는데 이번 계기로 생겨부렀슴다
13387420	발키리와 헬라 전투신도 있었으면 좋았을텐데! 그래도 재미 있었다!! 헬라님 충성충성^^7
13387410	마블 특유의 코믹 재밌습니다
13387403	잊고있었다천둥의신이라는걸ㅠㅠ
13387372	재미쓰뇨 ㅊ천처천!ㅋㅋ
13387368	진짜 재미있어요꼭 보세요~^^자리도 좋았어요
13387362	뜻밖의 병맛, 전보다 가벼워져서 한껏 웃다가 나왔네요~ 전 강추!!
13387358	요즘 러닝타임만 길고 지루한 영화는 이걸 보고 배워야한다.
13387348	역대급 스케일과 적절한 병맛의 마블영화북유럽신화를 알고싶을 정도의 재미
13387347	휴가떄 봤는데 ㄹㅇ 전역 더 하고싶어짐 빨리 전역해서 이런 마블영화 많이많이 보고싶네요
13387345	지루해요지루해요지루해요지루해요지루해요
13387341	한번쯤 상상해볼만한세상이네요 정말 재밌었어요 토르가 머리잘라서너무행복해요어벤저스나오는것도기대되고 반가운인물들이나와서더재밌었던것같아요
13387336	재미있었어요 웃기기도하고!
13387327	그냥 별생각없이 봤는데 재미또요
13387324	최고임정말최고임최고
13387315	코믹 영화 좋아요 ㅋ 진지하게 재밌어요
13387311	소소입니다. 마지막에 헬라가 너무 쉽게 죽네요.. 그게 좀 아쉬워ㅆ고 개그코드는 좀 따로 노는 느낌입니다. 나머지 액션신은 재밌어요 ㅋ 근데 마지막 쿠키영상은 이해가 잘 안되네요 그거 말고는 딱 킬링타임으로보기 좋았어요 토르가 머리 자른건 아쉽네요
13387294	토르 시리즈 중 가장 추천드리는 편입니다. 마블의 유머러스가 영화를 너무 즐겁게 만들어요.
13387246	즐겁고 가볍게 볼 수 있음 액션이 시원시원함
13387244	마블짱!!! 역시 기대이상~ 최고의 영화입니다. ㅋ
13387225	어벤져스 시리즈다음편을 위해 잠깐 쉬어가는 정도. 즐기며 가볍게 볼 수 있음
13387210	재밌어요 다음편 기대됩니다
13387207	토르 잘생겼다 또 보고싶당
13387204	코믹적 요소가 많아 잼있었음
13387201	토르중에선 재밌음~~
13387175	토르 너무 즐겁게 봤습니다.
13387172	짱!! 너무 재밌게 봤습니다!
13387170	스토린 유치하나 볼거리는 많은 영화
13387162	개재밌었음. 가족이랑 봤는데 부모님은 그닥 재미 없었다고 하는데.. 전 아주 강추!
13387150	올해 본 영화 중에 최고 !
13387146	진짜 개꿀잼 토르역대급이다...
13387137	진짜 재미있게봤네요 시리즈중 제일 코믹했네요
13387135	오랫만에 재밌게 보았어요..중간중간 코믹요소도 들어있구요..시원한영화네요
13387126	으음... 재미있는 있는데 뭔가 허전한 영화...
13387123	후반부 아쉬워서 8점 dream
13387105	토르도 이제 단독영화로 충분히 매력있다
13387094	믿고보는 마블 재미있어요
13387090	가오갤과 토르를 섞어 놓은 느낌과 복선이 굉장히 많은 영화
13387075	기존의 토르 시리즈와 다른 경쾌함!!
13387055	음악이 너무 신나고 지리고 오지고 씹고 뜯고 맛보고 즐기고 왔음
13386996	완전재미남...!!! 난지금껏토르가망치의신인줄 ㅋㅋ 천둥의신이었구나 ㅋㅋ 진짜 머리자르니 왜이리 멋진지ㅠㅠ
13386993	기존 무거웠던 토르시리즈에비해 가볍게 봤습니다
13386985	재밌어요오락성만 따지면 10점
13386984	토르 시리즈 중 최고! 올해 본 후속영화중 최고! 이번편은 캐릭터 모두가 다 너무 멋있고 빛났어요특히 헬라 등장할때 카리스마 개쩜 ㅠ 넘 멋졌어유
13386959	조아요~즐겁게 봤어요~~~
13386947	중간중간 개그신 재밌고 내용도 괜찮고
13386919	전편보다 더 유치하다 . 조금 실망스러운 스토리 ㅋ
13386862	역시 마블은 코메디야! ㅋㅋㅋㅋ
13386850	완전 재미있어요 굿귯!!!
13386838	지루할틈없이 잼나게봤어요~ 헐크와의 만남이 젤 인상깊었다는 ㅎ
13386819	재미는 있는데 과한 유머 액션은 훌륭함
13386774	이번에 토르에게 푹빠져버림 !너무 재밌게봤는듯 끝나도 토르만 생각나
13386772	역시 기대햇던것만큼 꿀잼ㅎㅎ
13386766	개꿀잼 기대이상으로 재밌고 각성한 토르는 더더욱 멋졌음^^
13386749	이 영화를 보고 위염이 나았습니다. 진짜로
13386738	가오갤식 약 빤듯 만든 마블영화!! 음악 또한 대박
13386734	재밌습니다!:) 역시 마블 재미있습니당
13386721	말이 필요없는 내용입니다꼭보세요!!><
13386695	짱재밌습니다 완전 강추
13386677	토르 너무 존잘인것 ㅠㅠ 1,2 편이랑 다른 분위기에 유쾌해서 잼써요
13386654	토르 시리즈를 다 못봣지만, 그래도 재미있네요.토르 머리 짜르고 나오는데도 더 멋있구... 시간가는줄도모르게 양화에 푹 빠졌네요!
13386652	기대가큰걸까.아쉽다
13386642	재미집니다~ㅎㅎㅎㅎ
13386630	가오갤풍이라고해서 기대하고 봤습니다. 역시 재미있네요
13386629	토르 사랑해요 헬라 최고
13386625	재밋엇어요!! 중간중간 웃긴장면도 있고 다음 어벤져스가 기대되요~
13386607	중간중간 유머도 재밌을 뿐 만 아니라 스토리도 잘 이어가서 아주 잘 본거 같습니다
13386603	기대안하고 봤는데 너무재밌게 잘봣어요!
13386602	다음 편이 빨리 보고 싶어요
13386591	완죤 잼씀~ 개인적으로 어벤져스나 시리스물들을 좋아해서 넘 잼께 봤어요^^
13386532	라라하나나아하자자가라아
13386513	내가 본 토르 영화중에 제일 재밌고, 제일 볼만하고, 멋있음 근데 너무 허무하게 끝나는듯.. 그게 뭔지는 본사람들은 알겠지 ㅋㅋ 쨌든 추천!!
13386495	재밋네여 토르 머리자른게훨남
13386488	언제나 마블은 믿고 보는듯 제 기억력의 문제로 약간의 내용이 기억 안날뿐
13386459	토르 시리즈중 제일 재밌게 본 시리즈
13386454	완키보다 매력이 미약해 보였던 토르의 존재감을 확실하게 찾아준 것이 가장 큰 수확. 헐크가 토르와 중요한 축을 이뤄 내달리는 이번 편은, 헐크 개별 시리즈를 원하는 헐크 마니아들에게도 확실한 팬 서비스다.
13386449	잼나는 오락영화 한편봤습니더 ㅋㅋㅋ 잼나요
13386436	구우우우웃 재에에미 있엉?ㄷ
13386428	개인적으로 쏘쏘 였어요
13386426	재밌었어요! 머리짧은 토르가 최고 멋짐!
13386423	재밌게봣습니다 추천해요!
13386378	마블은 언제나 재밌징~ ㅎㅎ
13386372	매우 추천드립니다..
13386336	확실히 토르 1,.2편보다 보기 편해졌어요. 재미있어요
13386328	기존의 토르와는 완전히 다른 유쾌하고 재밌는 영화. 기대하고 보셔도 될듯합니다. 전 개인적으로 ost 가 너무 맘에들었고 발키리가 너무 멋있었네요. 전투신이랑 다 너무 멋졌음 추천 ㅇㅇb
13386319	한줄분석이 영화를 가장 좋아하는 그룹은 20대 남자입니다
13386318	정말재밌어요!! 추천해요
13386301	중학생이 보는 관점에서 그냥 싸우고 하는것에서 재미있고 괜찮은 영화였어요 ㅎㅎ
13386280	최고의 기반으로 만들어진 B급영화!! 다크월드는 지루했는데 이게 2시간이 넘었다니
13386278	정말 재미있었고 캐릭터들이 개성이 강했다. 기존에 탄탄한 캐릭터를 쌓아온 역할들은 물론이고 새롭게 나오는 캐릭터들도 하나하나 전부 좋았다.
13386274	역시 마블 점점 유쾌해져가는긋
13386269	닥터 스트레인지 기대했는데 ㅠ나온것만으로도 잠시동안 좋았어요!
13386266	기대가 넘 크나보다. 기대만큼은 아니지만 볼 만은 하다.킬링타임용으로 추천함.
13386259	일단 마블은 의무감으로 ^^ㅋㅋㅋ 유치뽕짝이지만 재밌었어요
13386257	개꿀잼, 개그도 흥하고 원작도 거북하지 않는선에서 최대한의 재미를 찾았음
13386251	그리스신화 명화를 보는듯한 장면들이 매우 매력적이었습니다
13386250	액션보다 빵터지는 순간순간의 조크들 ㅎㅎ강동과 웃음을 함께할 수 있엇어요
13386247	토르시리즈중에는 제일 재밌었음ㅋㅋㅋ
13386242	토르 멋있어서 한번 더 보고싶어요 짱잼 꿀잼 ㅠㅠ
13386240	보는 내내 재미있게 봤어요!!
13386220	약간 만화 같지만 재밌어요
13386221	약간 만화 같지만 재밌어요
13386208	믿고보는 마블!!토르짱멋있다
13386207	그럭저럭 지루하지 않고 볼만함
13386204	햄식이는 언제봐도 햄식이...햄식이최고ㅠㅠㅠㅠ맨날 탈의하고 나왔으면 좋겠어요...허당햄식이 귀엽고난리... 이번엔 여자캐릭터도 강하게나와서 좋았어요 헬라 쎄고난리
13386203	무척재미있겝핫습니다
13386201	전 시리즈를 모르고 봐도 충분히 재밌었습니다
13386197	여러가지 재미 요소가 있어서 좋았다. 볼거리도 많다. 가족 과 함께 즐거운 시간을 보내기에 좋다.
13386190	정말 재밌었습니다. 햄식이 형 너무 멋있고 짱짱맨. 우리는 저런 리더가 필요하다. 나도 그렇게 되고 싶닷
13386181	별로 기대 안 하고 봤는데 재밌게 봤어요!
13386179	여전히 재미있지만 처음만 못하군요
13386169	뭔가 조금 촌스러운 느낌은 있는데 캐릭터, 유머, 재미는 충분함ㅋㅋㅋ 악당 캐릭터들이 조금만 더 포스가 있었으면 더 재밌었을듯그랜드마스터를 조니뎁, 헬라를 안젤리나졸리가 했음 좋았을텐데
13386126	천둥의신 망치가 없어도 강햇다헐크는 지못미 ㅋ
13386117	생각나는 건 많지만.. 묘묘야 죽지마
13386107	무겁지 않아서 좋아요 ㅎㅎ 다들 유머나 말장난같은게 좋다고 그러던데 그런 잔재미(?)같은 것도 있고 원전은 다 무시하지만(ㅋㅋ애초부터가..) 그거랑 별개로 잘 재구성해서(헬라) 아무 생각없이 재밌게 볼 수 있었어요 꿀잼
13386089	악당을 응원하긴 처음. 케이트 블란쳇 진짜 지린다
13386084	다때려부셔요 재밌습니다
13386043	기대 햇던 영상. 액션. 굳
13386036	Rnernernernernerne
13386034	역대급영화! 인생작이었음 ㅠㅠ
13386024	마블 다운 영화다 ..쥑인다~~
13386018	그냥뭐너무기대해서..
13385974	역시 실망을 시키지 안습니다볼거리.줄거리 최고입니다
13385965	머리카락, 눈, 망치 돌려줘..ㅠㅠ
13385959	토르 완전멋짐멋짐!!
13385952	너무 유쾌하고 즐거운 시간이였습니당~
13385948	천둥의 신이라는걸 다시금 느끼게 해줌....즐거웠음
13385925	재미뜸 지금까지 토으 시리즈중 제일 재밌음
13385890	토르 특유의 유머(?)같은게 너무재밌어요 ㅎㅎ 시리즈 중 최고인듯:)
13385880	토르가 각성해따...
13385855	한번더보러갑니다 ㅈㅈ
13385848	스토리가 너무 짜임새 없고 공감 안가고 지루하네요 영상미도 별로예요
13385844	묠니르의 파괴가 중요한것이 아니다. 시빌워를 보았는가?아스가르드가 파괴되면서도 뭣이 중헌지를 정확 히 판단했던 토르의 리더쉽은,시빌워의 캡틴아메리카에게 강력한번개 싸다구를 날린다.
13385831	토르 완전쎄!! 헐크 너무 좋아잉
13385802	말이필요없다 개재밌다
13385787	햄식이 귀여워용~~재밌어용
13385780	즐거운 남의집 싸움구경
13385777	또보고싶을정도로 꿀잼 ㅜ
13385738	히어로물의 호쾌한 액션과 배경음악이 잘 어울려 보는것도 듣는것도 즐거웠던 영화
13385710	헬라가 아스가르드를 무너뜨리는 전투씬 정말 멋있습니다크
13385706	이젠 망치의 신, 장발양아치가 아닌 천둥의 신, 아스가르드의 왕
13385703	역시 잼! 재밌다! 말이필요없다
13385679	고스트인더쉘 가오갤 스타워즈 인터스텔라정도 연상되긴했는데 어쨋든 영화관에서 세번봄 ㅋ토르입덕함ㅋ 마지막부분개소름
13385671	꿀잼꾸구구구꾸구굴잼
13385670	그냥그래여 솔직히 ㅁㅁㅁ
13385667	스토리 유치함. 개연성 없음. 갑자기 착해진 캐릭터들은 뭐지... 토르가 잘 생기긴 했음. 본 마블 영화중 제일 최악임. 별 한개도 아까움.
13385661	완전 재밌어용 중간중간 터지는 유머코드 ㅋㅋㅋ
13385641	오랜만에실컷웃고실컷소리지르며너무재미있게본영화^^내가본토르시리즈중이번께최고!!!
13385638	존잼 다음편 빨랑 보고싶어여
13385626	진짜핵재밌다 ;; 토르존잘
13385617	천둥의 신 토르의 완성 그리고 헬라는 무적이었다
13385616	두시간동안 액션신.강추
13385593	넘넘잼났룸!!! 토르넘멋짐
13385572	와이프는 잼있다고 하네요. 전 갠적으로 스릴러를 좋아하다보니..
13385549	꿀잼~ 시간이 언제 이렇게 갔는지 헐
13385545	짱재밌음 ㅎㅎ두번봐라ㅜ세번봐라
13385530	로다주나올줄알아ㅛ는데 그래도2번봄
13385527	스타일리쉬한 액션 ㅎㅎ
13385503	오랜만에 몰입하며 재미나게 잘 봤네요. 꿀잼!!!
13385467	토르 존잘진짜재밌다
13385465	역대 마블 영화 전부 재밌었지만, 그 중 베스트였습니다. 정말 재밌습니다.
13385441	역대급 통쾌한 마블영화!
13385430	재밌게봤어요!!!! 액션도많고 내용도좋았어요
13385428	이때까지 나왔던 마블영화중에 가장 재미있었다.ㅋ 전투씬/코믹/스토리 조화가 대단히 좋았다. 130분이 짧게 느껴질정도..^^;
13385417	어썸~!!! 최곱니다 진짜
13385412	생각보다 재미있너요~~~
13385408	나름 볼만합니다 토르 시리즈 중에 제일 괜찮은듯
13385407	생각보다 재미없음 쫌 유치한듯
13385405	제 기대치가 너무 높았는지 살짝 실망그래조 짱 재밌어요
13385403	다들 알바생이예요?? 어디 가오갤 발가랄 때도 안되는걸 가지고..
13385402	마블의 유머 스타일에 슬슬 면역이...
13385364	애들이 정말 좋아하는 영화입니다
13385359	음 괜찮은거 같아요 지루하지는 않았음
13385354	시간가는줄 모르고 봤네요
13385348	평점 10점 너무작아여 완전 갸 꾸르잼 ㅜㅜㅋㅋ진짜 재미없던 순간 한순간도 없었어요ㅜㅋㅋ두번째 쿠키영상보고 아이러니해 하고나왔음 ㅜㅜ다음 탄 기대됨요 ㅎㅎ
13385343	매력있고 가벼워진 토르영화
13385335	리얼 꿀잼ㅋㅋㅋ 역시 담배는 아블 히어로 영화는 마블
13385331	토르 최고 짱짱맨 ㅠㅠ사랑해요 토르ㅠ로키는 더사랑해욘 ㅠㅠㅠ
13385310	굳재미 스토리 다 잡은영화
13385295	재밌어요 아우 씨 더이상 무슨말이..10자이상
13385283	꼭보셔야합니다 토르토르쩌아앙
13385277	노잼. 그러나 함께봐서 재밌었던 영화
13385272	마블 시리즈 다 보고 있어서 그냥 봤을 뿐인데... 이번편 최고임
13385267	너무재밋어요 또 나오길!!
13385259	진짜 존잼입니다. 꼭 보세요 강력추천!! 주인공들도 다 멋져 진심
13385233	토르시리즈중에 제일재밋었어욯ㅎㅎㅎ데드풀느낌도나고 존잼
13385227	목에 전기충격기도 못 견디면서 천둥의 신은 무슨. 헬라도 그걸로 잡지 왜 삽질했냐. 그랜드마스터 방에 가둬놓지 도망못하게. 발키리랑 그랜드마스터 파트 존노잼. 발키리 헬라 존못. 블란쳇은 토르 누나가 아니고 엄마뻘같던데
13385180	믿고보는 마블!!!역시 토르 최고 빨리 다음편을
13385169	재미있어요. 헐크 귀여움
13385167	볼만했다 쿠키 두번째는 안보고 나올껄..
13385147	와 눈이 즐거움ㄷㄷㄷ 발키리와 토르 최애캐 얻고 가는듯 발키리 넘 멋짐ㅠㅠㅠㅠ
13385144	그냥 헐크귀엽고 그냥 그랬어요..
13385137	쏘쏘했습니다ㅋㅋ보면서 궁금한게 많이 생기는 영화
13385126	유쾌하고 즐겁게 볼수 있어서 좋았어요~ 음악이 진짜 신의 한 수 어쩜 그리 잘 뽑았는지~ 토르 머리자르고 딱 등장하는데 완죤 심쿵 !!짧은 머리 아주칭찬해 !
13385121	크리스햄스워스 설레 너때문에
13385106	재밌어요 다시 또 보고싶어요
13385105	닥터 스트레인지가 조금 도움을 줬더라면..
13385102	아이들 보더니 너무재밌다고 예전편보 보고싶다고 난리에요,
13385094	게임처럼 가볍게 즐기는 10~20대 취향 저격 영화인것같네요. 50대인 내 취향은 아니지만, 휴가나온 아들과 같이 즐길 수 있어서 괜찮았 다고 생각되네요.
13385090	1,2편이랑 느낌이 다르네요 감독도 그렇게 만들었다 했는데, 그래도 재미있게 봤어요. 로키랑 헐크도 귀엽고 좀 더 풀었으면 하는 이야기도 있지만 잘 봤어오
13385088	오늘 엄마랑 롯데시네마 월드타워에서토르 라그나로크 봤는데 넘 재미있었어요^^CG도 대단했지만 배우분들 연기 대단했어요쿠키영상 2개 봤는데 어벤져스 인피니티워 토르 기대됩니당ㅎㅎ
13385074	초등 아들과 잼있게 봤습니다
13385073	솔직히 그냥 그랫네요ㅠㅠ 기대를 많이햇나
13385070	오늘부터 롤할때 스태틱필수
13385068	재밋엇어용역시!!!!
13385067	볼만은 했는데 너무 기대를 많이 해서그런지 엄청 띵작이다싶을정도는 아니었다헬라는 멋있었다
13385066	나쁘지 않은 유머와 액션
13385063	천둥의군주천둥의군주
13385056	음악 액션 코믹요소 다 좋아요
13385051	아들이랑 잼있게봤어요~~
13385026	정말 너무 재미있었고 짱짱짱
13385021	보는내내 지루하지도않고 재밌네요 역시 기대를저버리지않는 마블
13385017	엄청나게 자밌어욥 ㅋㅋ
13385014	10101010101010101010
13385008	지루하지도 않고~ 재미나게 잘봤네요~ㅎ
13385005	역시 어벤져스 중 쵝옵니다
13384990	마블은 언제나 정답!!! 수퍼수퍼 그뤠잇!!!!
13384984	만화같다는 느낌도 들고..시간가는줄 모르고 보았네요
13384973	마블판 킹스맨. 후반으로 갈수록 몰입된다
13384966	존잼존잼대존잼 또 봐야지
13384956	역시 마블!!!!이젠 믿고 봅니다
13384940	토르 시리즈 중 최고의 작품
13384926	와..정말 세상 젤 재밌다우리 토르 눈만 돌려죵...ㅠㅠ!!
13384922	그런데로 재미있기는 한데 중간에 좀 따분해요.이야기가 필요없는게 넣고 유머도 좀 애매한 유머가 있어서 아쉬웠어요.
13384920	완전재미있어요. 모처럼 돈아깝지 않은 영화다. 마블의 개념과 비주얼 융합힘 여전하네요~!
13384914	그냥 볼만하네요 쿠키영상2개 별내용없는듯
13384876	역시 마블영화는 실망시키지않는듯..ㅎ
13384875	너무 멋있어요~타노스편이 기대됩니다!!!
13384872	햄식이. ♥♥ 귀여워유 귀여워
13384869	히어로 영화 중에 젤 최악인듯. 스토리 구성은 말할 필요도 없고 개그씬은 입꼬리도 안올라가는데 뜬금없이 계속나옴. 그래도 마블영화니까 어는정도는 이해 할수있는데 이건 답도 안나온다.
13384861	개그코드 취저당함...
